County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Dutchess,Poughkeepsie Town PD,2007,12,1575,53,1,0,32,20,1522,101,1399,22,Non-New York City
Westchester,Ardsley Vg PD,1998,,63,11,0,0,2,9,52,8,40,4,Non-New York City
Westchester,Eastchester Town PD,2010,12,211,8,0,0,5,3,203,23,174,6,Non-New York City
Erie,Tonawanda Town PD,1997,,1565,58,1,5,22,30,1507,196,1201,110,Non-New York City
Orange,Harriman Vg PD,2000,,43,6,0,0,0,6,37,5,32,0,Non-New York City
Ulster,Rosendale Town PD,2010,12,56,1,0,0,0,1,55,9,46,0,Non-New York City
Chenango,County Total,2009,,997,53,0,11,7,35,944,211,715,18,Non-New York City
Wayne,Sodus Vg PD,2001,,51,2,0,1,0,1,49,8,41,0,Non-New York City
Chemung,Elmira Town PD,1991,,64,0,0,0,0,0,64,20,43,1,Non-New York City
Sullivan,Sullivan County State Police,2008,12,569,95,1,16,2,76,474,181,275,18,Non-New York City
Tompkins,Ithaca College PD,2008,12,122,6,0,3,1,2,116,10,104,2,Non-New York City
Cayuga,Weedsport Vg PD,1998,,38,2,0,0,0,2,36,4,30,2,Non-New York City
Delaware,Sidney Vg PD,1999,,217,6,0,1,1,4,211,17,185,9,Non-New York City
Fulton,Fulton County State Police,1996,,178,17,0,2,0,15,161,61,92,8,Non-New York City
Otsego,Otsego County State Police,2010,12,443,32,0,6,5,21,411,87,313,11,Non-New York City
Rockland,Piermont Vg PD,2014,12,27,2,0,0,0,2,25,1,23,1,Non-New York City
Tioga,Tioga County State Police,1993,,170,9,0,2,1,6,161,53,106,2,Non-New York City
Steuben,Canisteo Vg PD,2012,12,48,7,0,0,0,7,41,10,29,2,Non-New York City
Westchester,SUNY College At Purchase,2001,,102,0,0,0,0,0,102,9,92,1,Non-New York City
Schenectady,Schenectady City PD,2003,12,3080,483,11,43,171,258,2597,736,1616,245,Non-New York City
Nassau,Hempstead Vg PD,1991,,2747,739,4,30,271,434,2008,422,1131,455,Non-New York City
Cortland,County Total,1998,,1865,125,0,23,14,88,1740,314,1367,59,Non-New York City
Onondaga,Dewitt Town PD,1998,,1014,21,0,0,13,8,993,189,774,30,Non-New York City
Dutchess,Pine Plains Town PD,2013,12,13,1,0,0,0,1,12,1,9,2,Non-New York City
Chautauqua,Carroll Town PD,2008,12,9,2,0,0,0,2,7,2,5,0,Non-New York City
Schoharie,Schoharie Vg PD,2009,12,25,1,0,1,0,0,24,6,18,0,Non-New York City
Jefferson,Glen Park Vg PD,1996,,17,0,0,0,0,0,17,1,16,0,Non-New York City
Cortland,Cortland City PD,2010,12,402,45,0,6,10,29,357,112,228,17,Non-New York City
Westchester,New Rochelle City PD,1998,,2159,163,1,11,104,47,1996,269,1511,216,Non-New York City
Albany,Cohoes City PD,1998,,459,27,0,6,7,14,432,133,277,22,Non-New York City
Delaware,Beerston PCT (NYC-BWSP),1999,,1,0,0,0,0,0,1,0,1,0,Non-New York City
Westchester,Sleepy Hollow Vg PD,1990,,128,13,0,1,5,7,115,23,67,25,Non-New York City
Albany,Albany County (RR-D and H),1996,,3,0,0,0,0,0,3,0,3,0,Non-New York City
Oneida,Yorkville Vg PD,1990,,63,0,0,0,0,0,63,16,46,1,Non-New York City
Oneida,Oneida County (RR-CSX),2003,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Rensselaer,Nassau Vg PD,2006,12,14,9,0,1,1,7,5,4,1,0,Non-New York City
Dutchess,Poughkeepsie Town PD,2005,12,1251,80,1,14,17,48,1171,130,1003,38,Non-New York City
Livingston,Dansville Vg PD,1992,,283,2,0,2,0,0,281,24,251,6,Non-New York City
Genesee,Genesee County State Police,2005,12,116,14,0,2,0,12,102,13,88,1,Non-New York City
Washington,Granville Vg PD,2006,12,47,3,1,0,0,2,44,14,29,1,Non-New York City
Livingston,Livingston County Park PD,2011,12,11,0,0,0,0,0,11,1,10,0,Non-New York City
Seneca,Interlaken Vg PD,2013,2,3,0,0,0,0,0,3,0,3,0,Non-New York City
Steuben,Steuben County Sheriff,2010,12,201,22,0,1,0,21,179,62,103,14,Non-New York City
Erie,East Aurora-Town Of Aurora PD,2001,,242,8,0,1,0,7,234,26,202,6,Non-New York City
Chenango,Chenango County Sheriff,2009,12,311,12,0,2,1,9,299,78,215,6,Non-New York City
Erie,Hamburg Town PD,2010,12,1035,37,0,3,13,21,998,179,789,30,Non-New York City
Schuyler,Watkins Glen Vg PD,2005,12,152,5,0,1,0,4,147,7,138,2,Non-New York City
Schoharie,Schoharie Vg PD,1991,,22,1,0,0,0,1,21,3,17,1,Non-New York City
Oswego,Oswego County Park PD,2010,12,10,0,0,0,0,0,10,3,7,0,Non-New York City
Erie,Erie County Sheriff,2004,12,1113,139,1,7,9,122,974,193,770,11,Non-New York City
Yates,Penn Yan Vg PD,2011,12,113,0,0,0,0,0,113,15,98,0,Non-New York City
Delaware,Hancock Vg PD,1999,,28,13,0,0,0,13,15,5,9,1,Non-New York City
Suffolk,East Hampton Town PD,1994,,543,8,0,1,1,6,535,190,330,15,Non-New York City
Steuben,Steuben County (RR-RC),1998,,1,0,0,0,0,0,1,0,1,0,Non-New York City
Hamilton,Hamilton County State Police,1994,,61,4,0,2,0,2,57,22,33,2,Non-New York City
Monroe,Ogden Town PD,2006,12,366,19,0,2,5,12,347,69,258,20,Non-New York City
Sullivan,Monticello Vg PD,1995,,616,72,0,2,34,36,544,205,326,13,Non-New York City
Jefferson,Glen Park Vg PD,1999,,3,1,0,0,0,1,2,1,1,0,Non-New York City
Nassau,Old Brookville Vg PD,2005,12,118,3,0,0,0,3,115,35,77,3,Non-New York City
Albany,Cohoes City PD,1992,,576,134,1,4,9,120,442,114,300,28,Non-New York City
Washington,Granville Vg PD,2000,,88,2,0,1,0,1,86,20,65,1,Non-New York City
Jefferson,Jefferson County (RR-CSX),2008,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Otsego,SUNY College At Oneonta,1990,,90,4,0,0,0,4,86,3,83,0,Non-New York City
Oneida,Oneida County Park PD,2010,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Oneida,New York Mills Vg PD,2005,12,86,7,0,0,0,7,79,14,63,2,Non-New York City
Broome,County Total,1991,,7447,339,5,60,60,214,7108,1247,5577,284,Non-New York City
Ulster,New Paltz Town and Vg PD,2010,12,299,55,0,4,7,44,244,41,197,6,Non-New York City
Nassau,Nassau County State Police,1993,,25,7,0,1,5,1,18,1,15,2,Non-New York City
Steuben,Addison Vg PD,1991,,101,11,0,0,0,11,90,15,73,2,Non-New York City
Allegany,SUNY College At Alfred,1998,,127,2,0,0,0,2,125,26,99,0,Non-New York City
Allegany,SUNY College At Alfred,1996,,248,11,0,3,0,8,237,62,174,1,Non-New York City
Orange,Orange County MTA,2009,12,7,0,0,0,0,0,7,0,6,1,Non-New York City
Columbia,Chatham Vg PD,2000,,95,21,0,0,1,20,74,12,60,2,Non-New York City
Rockland,Rockland County State Police,2014,12,21,4,0,2,0,2,17,1,14,2,Non-New York City
Rockland,Haverstraw Town PD,2010,12,503,65,0,6,27,32,438,106,312,20,Non-New York City
Ulster,Rosendale Town PD,2006,12,48,2,0,0,0,2,46,11,34,1,Non-New York City
Broome,Binghamton City PD,2002,12,2366,205,6,21,80,98,2161,260,1856,45,Non-New York City
Oneida,Whitesboro Vg PD,2000,,67,7,0,0,0,7,60,13,41,6,Non-New York City
Westchester,Mount Pleasant Town PD,2012,12,254,14,0,3,3,8,240,52,182,6,Non-New York City
Wayne,Sodus Vg PD,1991,,56,8,0,0,2,6,48,8,38,2,Non-New York City
Schoharie,Schoharie County State Police,1993,,248,19,0,3,1,15,229,89,128,12,Non-New York City
Wayne,Wayne County State Police,2003,12,481,37,1,8,4,24,444,104,327,13,Non-New York City
Suffolk,Saltaire Vg PD,1994,,11,0,0,0,0,0,11,3,8,0,Non-New York City
Orange,Harriman Vg PD,2010,12,14,1,0,0,1,0,13,3,10,0,Non-New York City
Suffolk,East Hampton Town PD,1996,,656,10,0,2,2,6,646,194,425,27,Non-New York City
Westchester,Tuckahoe Vg PD,1998,,77,10,0,0,1,9,67,9,46,12,Non-New York City
Orange,Chester Vg PD,1999,,197,12,1,0,3,8,185,15,163,7,Non-New York City
Monroe,Rochester City PD,2006,12,15665,2666,49,92,1332,1193,12999,2673,7913,2413,Non-New York City
Cortland,Mcgraw Vg PD,1995,,7,0,0,0,0,0,7,1,5,1,Non-New York City
Albany,Albany County Park PD,2004,12,9,1,1,0,0,0,8,2,6,0,Non-New York City
Putnam,Kent Town PD,2007,12,141,1,0,0,0,1,140,25,110,5,Non-New York City
Allegany,Wellsville Vg PD,2002,12,242,40,0,0,0,40,202,19,183,0,Non-New York City
Suffolk,Asharoken Vg PD,1991,,17,0,0,0,0,0,17,1,16,0,Non-New York City
Essex,Essex County State Police,2008,12,309,38,0,6,1,31,271,78,191,2,Non-New York City
Orange,Warwick Town PD,1997,,191,16,0,1,3,12,175,39,129,7,Non-New York City
Chautauqua,Carroll Town PD,1999,,41,7,0,0,0,7,34,12,22,0,Non-New York City
St Lawrence,St Lawrence County (RR-RC),1994,,3,0,0,0,0,0,3,0,3,0,Non-New York City
Suffolk,Riverhead Town PD,1994,,1048,242,7,0,33,202,806,290,470,46,Non-New York City
Cayuga,County Total,2005,,1848,138,2,24,23,89,1710,366,1322,22,Non-New York City
Allegany,County Total,2010,,841,89,0,11,6,72,752,161,577,14,Non-New York City
Delaware,County Total,2009,,754,69,0,10,5,54,685,189,485,11,Non-New York City
Nassau,Old Westbury Vg PD,2007,12,30,0,0,0,0,0,30,7,19,4,Non-New York City
Oswego,Oswego County Sheriff,2010,12,654,46,3,5,5,33,608,193,385,30,Non-New York City
Seneca,Seneca County Park PD,2002,12,21,0,0,0,0,0,21,3,18,0,Non-New York City
Wyoming,Wyoming County Park PD,2002,12,5,0,0,0,0,0,5,0,5,0,Non-New York City
Nassau,Nassau County State Police,2014,12,11,2,0,0,0,2,9,0,4,5,Non-New York City
Chemung,Chemung County Park PD,1990,,3,0,0,0,0,0,3,0,3,0,Non-New York City
Niagara,Lockport City PD,2000,,888,70,0,3,17,50,818,177,590,51,Non-New York City
Westchester,Yorktown Town PD,1999,,717,32,0,1,9,22,685,79,589,17,Non-New York City
Schenectady,Schenectady City PD,1994,,4099,675,0,31,268,376,3424,1231,2008,185,Non-New York City
Orange,Newburgh Town PD,1992,,1289,55,0,5,25,25,1234,155,1032,47,Non-New York City
Monroe,Greece Town PD,1994,,2863,130,1,14,34,81,2733,283,2234,216,Non-New York City
Oneida,Utica City PD,1991,,4002,258,11,31,162,54,3744,949,2525,270,Non-New York City
Ulster,Rosendale Town PD,1995,,82,6,0,2,0,4,76,22,48,6,Non-New York City
Rockland,Rockland County Park PD,2012,12,12,0,0,0,0,0,12,0,12,0,Non-New York City
Onondaga,Onondaga County Sheriff,1999,,2619,216,0,31,52,133,2403,457,1815,131,Non-New York City
Orange,Goshen Vg PD,1994,,192,10,0,0,1,9,182,24,156,2,Non-New York City
Columbia,Philmont Vg PD,1994,,7,3,0,0,0,3,4,1,3,0,Non-New York City
Chenango,County Total,1998,,1079,136,1,6,2,127,943,258,660,25,Non-New York City
Onondaga,Solvay Vg PD,2001,,198,17,1,0,3,13,181,40,129,12,Non-New York City
Erie,Amherst Town PD,2006,12,2004,122,2,11,31,78,1882,277,1571,34,Non-New York City
Putnam,Brewster Vg PD,2008,12,27,9,0,0,2,7,18,3,14,1,Non-New York City
Nassau,Centre Island Vg PD,1997,,1,0,0,0,0,0,1,1,0,0,Non-New York City
Wayne,County Total,2005,,2218,171,1,31,18,121,2047,453,1511,83,Non-New York City
Washington,Whitehall Vg PD,2004,12,40,3,0,0,0,3,37,1,34,2,Non-New York City
Suffolk,Suffolk County Sheriff,2003,12,267,232,0,1,1,230,35,11,18,6,Non-New York City
Washington,Granville Vg PD,2012,12,41,1,0,0,1,0,40,8,32,0,Non-New York City
Seneca,Seneca County Sheriff,1998,,305,23,0,1,4,18,282,58,220,4,Non-New York City
Clinton,Plattsburgh City PD,2000,,373,42,0,1,0,41,331,67,263,1,Non-New York City
Monroe,Brockport Vg PD,2008,12,209,21,0,2,3,16,188,47,135,6,Non-New York City
Suffolk,SUNY - Stony Brook,2001,,667,8,0,2,1,5,659,18,635,6,Non-New York City
Niagara,Niagara County Park PD,2010,12,28,0,0,0,0,0,28,1,26,1,Non-New York City
Orange,Washingtonville Vg PD,1992,,148,25,0,1,5,19,123,17,105,1,Non-New York City
Jefferson,Brownville Vg PD,2012,12,7,0,0,0,0,0,7,0,7,0,Non-New York City
Albany,Albany City PD,2007,12,5378,1132,3,45,376,708,4246,963,2997,286,Non-New York City
St Lawrence,Norwood Vg PD,1993,,43,3,0,0,0,3,40,5,35,0,Non-New York City
Westchester,Lewisboro Town PD,2014,12,5,0,0,0,0,0,5,0,5,0,Non-New York City
Orange,Greenwood Lake Vg PD,2012,12,31,6,0,0,0,6,25,4,21,0,Non-New York City
Livingston,County Total,2008,,1075,72,0,14,4,54,1003,164,824,15,Non-New York City
Albany,Albany County Park PD,2008,12,3,0,0,0,0,0,3,1,2,0,Non-New York City
Chemung,Chemung County Sheriff,1996,,505,38,0,4,2,32,467,86,370,11,Non-New York City
Saratoga,County Total,2008,,3140,161,0,23,21,117,2979,505,2392,82,Non-New York City
Warren,Warren County State Police,2005,12,283,32,0,3,3,26,251,23,228,0,Non-New York City
Sullivan,County Total,1990,,3169,300,3,18,39,240,2869,1100,1647,122,Non-New York City
Ulster,Plattekill Town PD,2006,12,32,0,0,0,0,0,32,7,21,4,Non-New York City
Rockland,Rockland County State Police,2004,12,41,19,0,2,3,14,22,3,12,7,Non-New York City
Montgomery,Amsterdam City PD,1996,,629,60,0,8,11,41,569,176,382,11,Non-New York City
Nassau,Malverne Vg PD,1999,,57,9,0,0,3,6,48,8,35,5,Non-New York City
Westchester,Greenburgh Town PD,1992,,1725,141,0,9,65,67,1584,215,1149,220,Non-New York City
Washington,Hudson Falls Vg PD,1996,,208,5,0,0,1,4,203,33,168,2,Non-New York City
Yates,Penn Yan Vg PD,2008,12,107,5,0,3,1,1,102,11,90,1,Non-New York City
Chautauqua,Westfield Vg PD,2001,,73,10,0,4,0,6,63,7,56,0,Non-New York City
Nassau,Hempstead Vg PD,2006,12,1276,326,4,10,181,131,950,220,551,179,Non-New York City
Westchester,Pelham Vg PD,2005,12,130,15,0,1,11,3,115,14,92,9,Non-New York City
Jefferson,Cape Vincent Vg PD,2003,12,6,1,0,0,0,1,5,0,5,0,Non-New York City
Oswego,County Total,1991,,3584,136,2,26,18,90,3448,792,2545,111,Non-New York City
Dutchess,Dutchess County Sheriff,2012,12,820,52,0,2,9,41,768,182,561,25,Non-New York City
Oswego,Oswego City PD,1994,,816,5,0,0,5,0,811,154,632,25,Non-New York City
Bronx,County Total,2002,,44035,14112,172,443,5215,8282,29923,5057,19585,5281,New York City
Chenango,Afton Vg PD,2000,,23,0,0,0,0,0,23,4,18,1,Non-New York City
Seneca,Seneca County Park PD,2011,12,5,0,0,0,0,0,5,1,4,0,Non-New York City
Wyoming,Warsaw Vg PD,2002,12,114,7,0,1,0,6,107,16,90,1,Non-New York City
Westchester,Hastings-on-Hudson Vg PD,1998,,80,4,1,0,2,1,76,7,63,6,Non-New York City
Erie,Tonawanda Town PD,2007,12,1299,118,0,7,33,78,1181,218,887,76,Non-New York City
Rensselaer,East Greenbush Town PD,2008,12,389,13,0,0,4,9,376,28,338,10,Non-New York City
St Lawrence,Canton Vg PD,2006,12,142,11,0,1,2,8,131,3,127,1,Non-New York City
Warren,Bolton Town PD,2011,12,15,0,0,0,0,0,15,1,14,0,Non-New York City
Monroe,Irondequoit Town PD,2010,12,1574,93,0,2,32,59,1481,251,1180,50,Non-New York City
Niagara,Niagara Town PD,2000,,492,9,0,0,6,3,483,63,387,33,Non-New York City
Schenectady,Schenectady County (RR-CSX),2006,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Ulster,Marlborough Town PD,1996,,110,3,0,0,1,2,107,33,65,9,Non-New York City
Westchester,Pelham Vg PD,2004,12,152,15,0,0,10,5,137,14,117,6,Non-New York City
Dutchess,Dutchess County State Police,2000,,856,123,1,8,8,106,733,180,534,19,Non-New York City
Albany,Albany County State Police,1996,,401,32,0,3,5,24,369,89,272,8,Non-New York City
Yates,County Total,1993,,553,59,0,5,2,52,494,128,347,19,Non-New York City
St Lawrence,SUNY College At Canton,2002,12,81,3,0,2,0,1,78,12,66,0,Non-New York City
Herkimer,Frankfort Vg PD,2002,12,127,14,0,0,1,13,113,24,87,2,Non-New York City
Tompkins,Ithaca City PD,2002,12,1311,46,0,4,29,13,1265,204,1046,15,Non-New York City
Cattaraugus,Cattaraugus County Park PD,1994,,32,3,0,0,1,2,29,2,27,0,Non-New York City
Monroe,Monroe County Sheriff,1995,,6306,139,4,18,44,73,6167,676,5173,318,Non-New York City
Orange,Crawford Town PD,2006,12,192,10,0,1,3,6,182,33,140,9,Non-New York City
Madison,Earlville Vg PD,2004,0,,,,,,,,,,,Non-New York City
Montgomery,Montgomery County Sheriff,1992,,251,7,1,0,0,6,244,54,184,6,Non-New York City
Albany,Albany County Park PD,1998,,13,0,0,0,0,0,13,0,13,0,Non-New York City
Schoharie,Schoharie County Sheriff,2010,12,68,2,0,0,0,2,66,24,41,1,Non-New York City
Orange,Monroe Vg PD,2012,12,187,24,0,3,6,15,163,21,140,2,Non-New York City
Albany,Altamont Vg PD,1992,,1,1,0,0,0,1,0,0,0,0,Non-New York City
Nassau,Glen Cove City PD,1998,,268,21,0,1,14,6,247,34,192,21,Non-New York City
Wyoming,Attica Vg PD,2013,12,7,2,0,0,0,2,5,0,4,1,Non-New York City
Suffolk,Southold Town PD,1991,,456,1,0,0,0,1,455,132,322,1,Non-New York City
Albany,Guilderland Town PD,2013,12,686,12,0,3,5,4,674,48,625,1,Non-New York City
Tompkins,Tompkins County Park PD,1993,,26,0,0,0,0,0,26,1,25,0,Non-New York City
Sullivan,Mamakating Town PD,1992,,1,0,0,0,0,0,1,1,0,0,Non-New York City
Broome,Johnson City Vg PD,2002,12,789,26,0,2,11,13,763,111,634,18,Non-New York City
Oneida,Yorkville Vg PD,1993,,60,0,0,0,0,0,60,23,35,2,Non-New York City
Schenectady,Schenectady County Sheriff,1995,,1,1,0,0,0,1,0,0,0,0,Non-New York City
Ulster,Lloyd Town PD,1990,,222,14,0,0,5,9,208,109,84,15,Non-New York City
Rockland,South Nyack-Grand View PD,1993,,111,20,0,3,1,16,91,19,70,2,Non-New York City
Suffolk,SUNY - Stony Brook,2000,,695,10,0,2,3,5,685,23,653,9,Non-New York City
Oneida,Vernon Vg PD,2013,12,23,2,0,0,1,1,21,4,17,0,Non-New York City
Steuben,Wayland Vg PD,2006,12,10,1,0,0,0,1,9,6,3,0,Non-New York City
Dutchess,Poughkeepsie Town PD,1992,,2120,118,1,5,34,78,2002,235,1708,59,Non-New York City
Genesee,LeRoy Vg PD,1999,,85,15,0,1,0,14,70,10,58,2,Non-New York City
Nassau,Malverne Vg PD,1993,,108,8,0,0,2,6,100,22,49,29,Non-New York City
Rockland,Orangetown Town PD,2001,,686,52,0,3,8,41,634,133,470,31,Non-New York City
Fulton,Johnstown City PD,2005,12,312,5,0,2,3,0,307,31,263,13,Non-New York City
Erie,Akron Vg PD,2014,12,18,1,0,0,0,1,17,0,17,0,Non-New York City
Monroe,Gates Town PD,2005,12,1103,46,0,3,32,11,1057,109,887,61,Non-New York City
Warren,Glens Falls City PD,2013,12,364,21,0,1,3,17,343,50,288,5,Non-New York City
Oneida,Kirkland Town PD,1996,,146,1,0,0,0,1,145,11,132,2,Non-New York City
Orange,Orange County Park PD,1991,,26,1,0,0,0,1,25,12,13,0,Non-New York City
Nassau,Centre Island Vg PD,1990,,5,1,0,0,0,1,4,0,4,0,Non-New York City
Nassau,Malverne Vg PD,1995,,106,7,0,0,2,5,99,15,74,10,Non-New York City
Onondaga,County Total,1994,,19688,1584,18,116,691,759,18104,4457,12528,1119,Non-New York City
Sullivan,Woodridge Vg PD,2010,8,20,4,0,0,0,4,16,8,8,0,Non-New York City
Cattaraugus,Franklinville Vg PD,1998,,19,11,0,0,0,11,8,1,7,0,Non-New York City
Orange,Harriman Vg PD,2002,12,83,0,0,0,0,0,83,16,67,0,Non-New York City
Cayuga,Weedsport Vg PD,1999,,29,1,0,0,0,1,28,1,25,2,Non-New York City
Tompkins,Tompkins County Sheriff,2007,12,420,16,0,7,2,7,404,66,321,17,Non-New York City
Westchester,Pelham Vg PD,1995,,282,11,0,0,7,4,271,48,198,25,Non-New York City
Erie,Eden Town PD,1995,,140,10,0,0,0,10,130,35,89,6,Non-New York City
Schenectady,Schenectady County State Police,1994,,77,1,0,0,0,1,76,20,52,4,Non-New York City
Dutchess,Fishkill Town PD,2009,12,215,7,0,2,1,4,208,20,182,6,Non-New York City
Nassau,Lake Success Vg PD,1999,,38,3,0,0,0,3,35,6,18,11,Non-New York City
Onondaga,Liverpool Vg PD,1997,,59,3,0,0,2,1,56,8,45,3,Non-New York City
Fulton,Fulton County State Police,1999,,116,24,0,0,1,23,92,37,52,3,Non-New York City
Niagara,Lewiston Town PD,2005,12,175,11,2,2,1,6,164,19,124,21,Non-New York City
Orange,Orange County Sheriff,1999,,30,22,0,0,1,21,8,2,4,2,Non-New York City
Cayuga,Auburn City PD,1990,,1330,49,2,12,14,21,1281,273,1002,6,Non-New York City
Erie,Hamburg Vg PD,1993,,271,38,0,1,4,33,233,38,181,14,Non-New York City
Nassau,Old Brookville Vg PD,2001,,146,3,0,0,0,3,143,35,97,11,Non-New York City
Essex,Lake Placid Vg PD,1998,,95,16,0,0,0,16,79,11,62,6,Non-New York City
Herkimer,Dolgeville Vg PD,2005,12,75,4,0,1,0,3,71,8,61,2,Non-New York City
Columbia,Greenport Town PD,1996,,143,10,0,0,1,9,133,5,128,0,Non-New York City
Schoharie,Cobleskill Vg PD,1999,,166,15,0,0,1,14,151,19,124,8,Non-New York City
St Lawrence,Massena Vg PD,2005,12,202,10,0,3,0,7,192,25,166,1,Non-New York City
Westchester,Bedford Town PD,1994,,269,1,0,0,0,1,268,42,216,10,Non-New York City
Cortland,Cortland County State Police,2010,12,188,3,0,1,0,2,185,28,149,8,Non-New York City
Rensselaer,Troy City PD,2014,12,2551,369,7,19,110,233,2182,540,1512,130,Non-New York City
Chemung,Chemung County State Police,2009,12,345,37,0,7,1,29,308,63,242,3,Non-New York City
Nassau,Malverne Vg PD,2006,12,11,0,0,0,0,0,11,0,8,3,Non-New York City
Schenectady,Niskayuna Town PD,2003,12,395,14,1,1,7,5,381,51,315,15,Non-New York City
Rockland,Clarkstown Town PD,2011,12,1617,100,0,5,31,64,1517,111,1376,30,Non-New York City
Genesee,Genesee County Park PD,2003,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Nassau,County Total,1994,,34561,3135,23,117,1491,1504,31426,5224,19766,6436,Non-New York City
Erie,Brant Town PD,1997,,13,0,0,0,0,0,13,2,11,0,Non-New York City
Monroe,Rochester City PD,2013,12,12160,2109,42,94,918,1055,10051,2587,6855,609,Non-New York City
Dutchess,Pine Plains Town PD,1993,,25,0,0,0,0,0,25,9,16,0,Non-New York City
Madison,Madison County Park PD,2009,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Clinton,Clinton County State Police,1990,,1345,174,0,4,6,164,1171,354,807,10,Non-New York City
Orange,Walden Vg PD,1992,,175,62,0,2,1,59,113,21,87,5,Non-New York City
Cortland,SUNY College At Cortland,1997,,166,3,0,2,0,1,163,12,150,1,Non-New York City
Fulton,Johnstown City PD,2012,12,308,6,0,0,4,2,302,37,258,7,Non-New York City
Chemung,Southport Town PD,1995,,70,0,0,0,0,0,70,5,65,0,Non-New York City
Chenango,New Berlin Town PD,1999,,2,0,0,0,0,0,2,1,1,0,Non-New York City
Nassau,Long Beach City PD,2009,12,258,26,0,2,6,18,232,21,207,4,Non-New York City
Suffolk,Amityville Vg PD,2001,,196,10,1,0,7,2,186,24,149,13,Non-New York City
Madison,Hamilton Vg PD,2009,12,48,2,0,0,2,0,46,13,33,0,Non-New York City
Erie,Cheektowaga Town PD,1993,,3910,361,2,19,85,255,3549,656,2334,559,Non-New York City
Cattaraugus,County Total,1993,,2694,291,1,10,15,265,2403,667,1678,58,Non-New York City
St Lawrence,Gouverneur Vg PD,1999,,226,4,0,0,0,4,222,50,169,3,Non-New York City
Suffolk,Sag Harbor Vg PD,2007,12,57,2,0,0,0,2,55,7,45,3,Non-New York City
Wyoming,Warsaw Vg PD,2011,12,66,6,0,1,0,5,60,3,57,0,Non-New York City
Orange,Cornwall-On-Hudson Vg PD,2000,,56,3,0,1,0,2,53,12,39,2,Non-New York City
Sullivan,Fallsburg Town PD,2001,,196,21,1,2,5,13,175,62,107,6,Non-New York City
Ontario,Geneva City PD,2003,12,417,32,0,4,5,23,385,22,355,8,Non-New York City
Suffolk,Southold Town PD,1997,,604,25,0,0,5,20,579,155,414,10,Non-New York City
Chautauqua,SUNY College At Fredonia,1999,,84,0,0,0,0,0,84,5,78,1,Non-New York City
Jefferson,Brownville Vg PD,1990,,10,0,0,0,0,0,10,3,7,0,Non-New York City
Ulster,Ulster Town PD,2008,12,294,10,1,1,6,2,284,35,238,11,Non-New York City
Jefferson,Sackets Harbor Vg PD,1990,,16,1,0,0,0,1,15,5,9,1,Non-New York City
Schoharie,Schoharie County State Police,1995,,268,23,0,0,0,23,245,99,139,7,Non-New York City
Tompkins,Cayuga Heights Vg PD,2006,12,45,0,0,0,0,0,45,0,45,0,Non-New York City
Jefferson,West Carthage Vg PD,2000,,16,3,0,0,1,2,13,2,11,0,Non-New York City
Saratoga,Mechanicville City PD,1990,,123,17,0,0,1,16,106,25,77,4,Non-New York City
Oneida,Vernon Vg PD,1990,,7,0,0,0,0,0,7,4,1,2,Non-New York City
Seneca,Waterloo Vg PD,1996,,181,3,0,0,1,2,178,47,126,5,Non-New York City
Albany,Albany County State Police,2001,,429,33,0,1,15,17,396,35,350,11,Non-New York City
Montgomery,Montgomery County (RR-CSX),2008,12,2,0,0,0,0,0,2,1,1,0,Non-New York City
Chautauqua,Dunkirk City PD,1993,,660,36,0,3,13,20,624,106,502,16,Non-New York City
Ulster,Ulster County Sheriff,1990,,227,13,0,0,0,13,214,76,126,12,Non-New York City
St Lawrence,Potsdam Vg PD,2011,12,249,13,1,4,1,7,236,23,208,5,Non-New York City
Rensselaer,Schodack Town PD,1995,,223,7,0,1,1,5,216,66,142,8,Non-New York City
Sullivan,Sullivan County State Police,2000,,594,72,0,7,2,63,522,175,332,15,Non-New York City
St Lawrence,Massena Vg PD,1994,,198,15,0,1,0,14,183,52,129,2,Non-New York City
Rockland,Orangetown Town PD,1998,,657,56,0,1,16,39,601,101,466,34,Non-New York City
Albany,Guilderland Town PD,2008,12,866,24,0,0,17,7,842,74,757,11,Non-New York City
Monroe,County Total,1994,,37964,3246,68,193,1887,1098,34718,6992,24676,3050,Non-New York City
Orange,Warwick Town PD,1990,,195,8,1,0,2,5,187,53,126,8,Non-New York City
Onondaga,East Syracuse Vg PD,1999,,154,6,0,0,1,5,148,24,116,8,Non-New York City
Erie,Amherst Town PD,2013,12,2225,107,1,7,31,68,2118,204,1882,32,Non-New York City
Schenectady,County Total,1999,,5425,570,5,36,212,317,4855,1156,3460,239,Non-New York City
Suffolk,County Total,1992,,64042,4218,52,110,1885,2171,59824,13401,37000,9423,Non-New York City
Jefferson,Adams Vg PD,1995,,26,2,0,0,0,2,24,8,16,0,Non-New York City
Rensselaer,Rensselaer Poly Tech Police,2002,12,170,2,0,0,2,0,168,27,141,0,Non-New York City
